machine_type,machine_id,filename,true_label,normalized_euclidean_e1,normalized_manhattan_e1,normalized_cosine_e1,normalized_euclidean_p9,normalized_manhattan_p9,normalized_cosine_p9,diff_normalized_euclidean,diff_normalized_manhattan,diff_normalized_cosine
pump,id_00,00000764.wav,normal,12.961474418640137,187.3851623535156,-0.0861301273107528,0.0,0.0,0.0,-12.961474418640137,-187.3851623535156,0.0861301273107528
pump,id_00,00000269.wav,normal,7.184118747711182,98.63961791992188,-0.0520052537322044,10.439656257629396,145.9898681640625,0.081447996199131,3.2555375099182147,47.350250244140625,0.1334532499313354
pump,id_00,00000551.wav,normal,43.88799285888672,617.388916015625,-0.0087868459522724,22.100622177124023,311.36309814453125,-0.0316683389246463,-21.787370681762695,-306.02581787109375,-0.0228814929723739
pump,id_00,00000980.wav,normal,5.533754348754883,79.75062561035156,0.0622393302619457,11.053179740905762,151.60568237304688,0.0319799482822418,5.519425392150879,71.85505676269531,-0.030259381979703896
pump,id_00,00000762.wav,normal,10.033157348632812,143.17848205566406,-0.0740331187844276,10.33396053314209,133.78028869628906,0.0212425682693719,0.30080318450927734,-9.398193359375,0.0952756870537995
pump,id_00,00000252.wav,normal,12.890931129455566,185.15963745117188,0.1325084567070007,15.636484146118164,206.656982421875,-0.0594560280442237,2.7455530166625977,21.497344970703125,-0.1919644847512244
pump,id_00,00000998.wav,normal,3.759987592697144,51.96160888671875,-0.0786192491650581,10.123363494873049,133.11068725585938,-0.0133811403065919,6.363375902175905,81.14907836914062,0.06523810885846619
pump,id_00,00000271.wav,normal,41.14377975463867,584.9786376953125,-0.0705537647008895,53.683067321777344,725.558349609375,-0.0240144785493612,12.539287567138672,140.5797119140625,0.0465392861515283
pump,id_00,00000146.wav,normal,58.97065734863281,808.822509765625,0.0397505760192871,24.808443069458008,343.1601867675781,-0.0843380838632583,-34.162214279174805,-465.6623229980469,-0.12408865988254542
pump,id_00,00000469.wav,normal,6.678304672241211,93.27218627929688,-0.1078968346118927,9.284326553344728,123.99411010742188,-0.0462300889194011,2.6060218811035174,30.721923828125,0.0616667456924916
pump,id_00,00000658.wav,normal,8.595966339111328,109.57083129882812,-0.0723507925868034,14.638748168945312,202.18768310546875,0.0566560551524162,6.042781829833984,92.61685180664062,0.1290068477392196
pump,id_00,00000405.wav,normal,8.25433349609375,119.61724853515624,-0.1121417209506034,9.553675651550291,126.2554931640625,-0.0566801279783248,1.2993421554565412,6.638244628906264,0.0554615929722786
pump,id_00,00000511.wav,normal,20.893070220947266,264.981689453125,-0.0251357275992631,36.55913543701172,495.601806640625,-0.0373502187430858,15.666065216064453,230.6201171875,-0.012214491143822698
pump,id_00,00000671.wav,normal,13.479710578918455,190.40838623046875,-0.0552144721150398,7.81583309173584,102.76734161376952,0.0305600520223379,-5.663877487182615,-87.64104461669923,0.0857745241373777
pump,id_00,00000217.wav,normal,18.002574920654297,259.33526611328125,-0.1000669747591018,18.257524490356445,244.9246368408203,0.0461948849260807,0.25494956970214844,-14.410629272460938,0.1462618596851825
pump,id_00,00000322.wav,normal,5.25812578201294,73.40010070800781,0.1206809803843498,7.118771553039551,95.66656494140624,-0.0280613880604505,1.8606457710266104,22.266464233398423,-0.1487423684448003
pump,id_00,00000735.wav,normal,17.678211212158203,257.1305847167969,-0.1122269928455352,17.61447525024414,242.72406005859372,0.0492136664688587,-0.0637359619140625,-14.406524658203153,0.1614406593143939
pump,id_00,00000580.wav,normal,13.663384437561035,199.7093811035156,-0.1211901530623436,10.15992832183838,134.5084686279297,0.0565971173346042,-3.5034561157226545,-65.20091247558591,0.1777872703969478
pump,id_00,00000216.wav,normal,6.260442733764648,83.18406677246094,0.0606293641030788,11.549383163452148,149.21304321289062,-0.0928191617131233,5.2889404296875,66.02897644042969,-0.1534485258162021
pump,id_00,00000067.wav,normal,19.83808898925781,288.38690185546875,0.1239414811134338,12.286709785461426,169.77806091308594,0.0158000979572534,-7.551379203796383,-118.60884094238281,-0.1081413831561804
pump,id_00,00000274.wav,normal,12.460320472717283,167.35205078125,0.0406282544136047,12.180194854736328,168.92405700683594,0.0125140938907861,-0.28012561798095525,1.5720062255859375,-0.0281141605228186
pump,id_00,00000410.wav,normal,8.644805908203125,122.00227355957033,-0.0613458976149559,9.29995059967041,117.89494323730467,-0.0072556380182504,0.6551446914672852,-4.107330322265653,0.0540902595967055
pump,id_00,00000323.wav,normal,8.987645149230957,122.21151733398438,0.0323204286396503,10.219926834106444,137.9434051513672,0.0448867380619049,1.2322816848754865,15.731887817382812,0.012566309422254597
pump,id_00,00000824.wav,normal,11.164888381958008,160.1216583251953,0.139017567038536,9.570751190185549,129.47796630859375,0.0489779710769653,-1.5941371917724592,-30.643692016601562,-0.09003959596157068
pump,id_00,00000988.wav,normal,12.007746696472168,163.94027709960938,0.0210272073745727,11.29309368133545,148.17587280273438,0.0315591692924499,-0.7146530151367188,-15.764404296875,0.010531961917877204
pump,id_00,00000841.wav,normal,6.243877410888672,86.42698669433594,0.1171559765934944,10.328449249267578,144.93338012695312,0.0816762000322341,4.084571838378906,58.50639343261719,-0.03547977656126031
