machine_type,machine_id,filename,true_label,global_normalized_euclidean,specific_normalized_euclidean
fan,id_00,00000764.wav,normal,13.479395866394043,10.28368091583252
fan,id_00,00000269.wav,normal,12.698756217956543,8.425640106201172
fan,id_00,00000551.wav,normal,12.827729225158691,9.918597221374512
fan,id_00,00000985.wav,normal,10.63237476348877,30.003915786743164
fan,id_00,00000762.wav,normal,12.88206672668457,14.618427276611328
fan,id_00,00000252.wav,normal,12.064033508300781,12.378046035766602
fan,id_00,00001003.wav,normal,13.658191680908203,13.103585243225098
fan,id_00,00000271.wav,normal,12.235383987426758,8.645862579345703
fan,id_00,00000146.wav,normal,14.83353328704834,19.32366943359375
fan,id_00,00000469.wav,normal,12.128047943115234,9.874577522277832
fan,id_00,00000658.wav,normal,11.984050750732422,9.929495811462402
fan,id_00,00000405.wav,normal,12.259703636169434,9.657867431640625
fan,id_00,00000511.wav,normal,13.259443283081055,12.46240234375
fan,id_00,00000671.wav,normal,12.886842727661133,10.440570831298828
fan,id_00,00000217.wav,normal,12.08668327331543,6.810290813446045
fan,id_00,00000322.wav,normal,12.80709171295166,8.488709449768066
fan,id_00,00000735.wav,normal,12.25196647644043,10.15713119506836
fan,id_00,00000580.wav,normal,12.339640617370605,8.681840896606445
fan,id_00,00000216.wav,normal,12.462822914123535,15.540550231933594
fan,id_00,00000067.wav,normal,12.520838737487793,18.618181228637695
fan,id_00,00000274.wav,normal,11.885855674743652,18.658430099487305
fan,id_00,00000410.wav,normal,12.85745906829834,10.29479694366455
fan,id_00,00000323.wav,normal,9.17733383178711,14.045587539672852
fan,id_00,00000824.wav,normal,12.910265922546387,16.500452041625977
fan,id_00,00000993.wav,normal,11.809996604919434,16.23760414123535
fan,id_00,00000841.wav,normal,13.193530082702637,10.625651359558105
fan,id_00,00000234.wav,normal,13.076982498168945,9.87111759185791
fan,id_00,00000057.wav,normal,10.116427421569824,20.219907760620117
fan,id_00,00000794.wav,normal,12.695101737976074,9.022560119628906
fan,id_00,00000786.wav,normal,11.647951126098633,23.731212615966797
fan,id_00,00000863.wav,normal,12.541807174682617,8.86391544342041
fan,id_00,00000332.wav,normal,11.631845474243164,21.622636795043945
fan,id_00,00000701.wav,normal,13.260826110839844,13.320161819458008
fan,id_00,00000224.wav,normal,10.818167686462402,10.012813568115234
fan,id_00,00000570.wav,normal,13.958495140075684,19.95997428894043
fan,id_00,00000704.wav,normal,13.1321439743042,11.259465217590332
fan,id_00,00000655.wav,normal,13.350081443786621,17.062541961669922
fan,id_00,00000276.wav,normal,12.825993537902832,10.250835418701172
fan,id_00,00000388.wav,normal,12.565589904785156,9.056468963623047
fan,id_00,00000473.wav,normal,10.467938423156738,18.886722564697266
fan,id_00,00000167.wav,normal,10.776092529296875,12.935243606567383
fan,id_00,00001005.wav,normal,10.844155311584473,13.41645336151123
fan,id_00,00000746.wav,normal,12.325163841247559,18.411285400390625
fan,id_00,00000546.wav,normal,12.425667762756348,15.885414123535156
fan,id_00,00000175.wav,normal,10.747596740722656,21.900211334228516
fan,id_00,00000917.wav,normal,12.605984687805176,11.018701553344727
fan,id_00,00000623.wav,normal,10.33195686340332,16.5072021484375
fan,id_00,00000073.wav,normal,11.874778747558594,12.33705997467041
fan,id_00,00000663.wav,normal,11.876046180725098,4.634598255157471
fan,id_00,00000699.wav,normal,13.275514602661133,11.118295669555664
fan,id_00,00000981.wav,normal,13.136184692382812,28.165699005126953
fan,id_00,00000273.wav,normal,10.569671630859375,11.839570999145508
fan,id_00,00000686.wav,normal,11.929824829101562,13.118377685546875
fan,id_00,00000214.wav,normal,11.113497734069824,12.046730995178223
fan,id_00,00000363.wav,normal,12.523026466369629,8.738077163696289
fan,id_00,00000379.wav,normal,11.948421478271484,8.78179931640625
fan,id_00,00000166.wav,normal,12.477372169494629,7.482966899871826
fan,id_00,00000373.wav,normal,12.21509838104248,12.071544647216797
fan,id_00,00000854.wav,normal,12.90217399597168,8.038597106933594
fan,id_00,00000650.wav,normal,13.567326545715332,15.429952621459961
fan,id_00,00000464.wav,normal,11.830431938171387,12.811979293823242
fan,id_00,00000965.wav,normal,13.809330940246582,18.4219970703125
fan,id_00,00000958.wav,normal,9.150938987731934,38.757965087890625
fan,id_00,00000103.wav,normal,12.768506050109863,9.934078216552734
fan,id_00,00000887.wav,normal,13.16832160949707,11.412435531616211
fan,id_00,00000989.wav,normal,11.325309753417969,11.173249244689941
fan,id_00,00000875.wav,normal,13.89976978302002,29.91231918334961
fan,id_00,00000081.wav,normal,13.798975944519043,11.716426849365234
fan,id_00,00000296.wav,normal,12.341279983520508,7.729758262634277
fan,id_00,00000791.wav,normal,12.994369506835938,8.238642692565918
fan,id_00,00000233.wav,normal,12.73717975616455,7.624823570251465
fan,id_00,00000677.wav,normal,13.996553421020508,23.711139678955078
fan,id_00,00000046.wav,normal,13.228334426879883,11.834527969360352
fan,id_00,00000071.wav,normal,12.214149475097656,10.420585632324219
fan,id_00,00000721.wav,normal,11.844988822937012,11.594039916992188
fan,id_00,00000196.wav,normal,14.128976821899414,12.71331787109375
fan,id_00,00000591.wav,normal,11.062219619750977,29.42526626586914
fan,id_00,00000370.wav,normal,12.772327423095703,20.207637786865234
fan,id_00,00000882.wav,normal,11.698058128356934,9.841373443603516
fan,id_00,00000906.wav,normal,13.146651268005371,16.071237564086914
fan,id_00,00000633.wav,normal,13.117359161376953,12.162111282348633
fan,id_00,00000643.wav,normal,12.745925903320312,15.968957901000977
fan,id_00,00000849.wav,normal,12.800929069519043,23.406021118164062
fan,id_00,00000300.wav,normal,10.189400672912598,25.046003341674805
fan,id_00,00000565.wav,normal,12.00299072265625,7.614191055297852
fan,id_00,00000080.wav,normal,11.46806812286377,12.7304105758667
fan,id_00,00000387.wav,normal,13.313011169433594,10.357755661010742
fan,id_00,00000944.wav,normal,12.727659225463867,15.161712646484375
fan,id_00,00000127.wav,normal,12.30461311340332,8.954639434814453
fan,id_00,00000549.wav,normal,9.993733406066895,15.536105155944824
fan,id_00,00000470.wav,normal,14.194377899169922,15.357523918151855
fan,id_00,00000747.wav,normal,13.055877685546875,25.213623046875
fan,id_00,00000044.wav,normal,12.96859073638916,14.47468376159668
fan,id_00,00000826.wav,normal,12.653938293457031,12.63623046875
fan,id_00,00000270.wav,normal,12.800629615783691,12.126657485961914
fan,id_00,00000618.wav,normal,12.764799118041992,8.993939399719238
fan,id_00,00000352.wav,normal,11.936473846435547,9.50584888458252
fan,id_00,00000867.wav,normal,13.116381645202637,11.244389533996582
fan,id_00,00000367.wav,normal,12.276363372802734,10.339552879333496
fan,id_00,00000099.wav,normal,12.128971099853516,14.371123313903809
fan,id_00,00000389.wav,normal,10.836920738220215,10.462386131286621
fan,id_00,00000094.wav,normal,14.132576942443848,13.35761833190918
fan,id_00,00001001.wav,normal,12.64387321472168,15.216462135314941
fan,id_00,00000344.wav,normal,13.853281021118164,15.7686767578125
fan,id_00,00000781.wav,normal,13.457547187805176,17.429794311523438
fan,id_00,00000220.wav,normal,12.154552459716797,12.112211227416992
fan,id_00,00000159.wav,normal,12.79501724243164,29.3016300201416
fan,id_00,00000975.wav,normal,13.4651460647583,10.08763599395752
fan,id_00,00000348.wav,normal,10.741539001464844,11.545021057128906
fan,id_00,00000994.wav,normal,12.852293014526367,12.353719711303711
fan,id_00,00000714.wav,normal,10.416411399841309,13.171415328979492
fan,id_00,00000163.wav,normal,13.224045753479004,15.424620628356934
fan,id_00,00000825.wav,normal,12.446321487426758,10.096700668334961
fan,id_00,00000777.wav,normal,12.992542266845703,12.017075538635254
fan,id_00,00000006.wav,normal,12.357467651367188,21.881549835205078
fan,id_00,00000890.wav,normal,12.353158950805664,9.994769096374512
fan,id_00,00000828.wav,normal,12.497611999511719,8.210844039916992
fan,id_00,00000284.wav,normal,11.93216609954834,9.422148704528809
fan,id_00,00000603.wav,normal,12.593317031860352,9.353052139282227
fan,id_00,00000459.wav,normal,12.01163101196289,12.3010835647583
fan,id_00,00000225.wav,normal,12.081257820129395,8.509031295776367
fan,id_00,00000429.wav,normal,10.510668754577637,7.052246570587158
fan,id_00,00000997.wav,normal,11.320572853088379,26.63603973388672
fan,id_00,00000718.wav,normal,13.020162582397461,8.801438331604004
fan,id_00,00000665.wav,normal,12.280622482299805,9.184589385986328
fan,id_00,00000733.wav,normal,12.902952194213867,10.408992767333984
fan,id_00,00000203.wav,normal,11.137311935424805,18.310440063476562
fan,id_00,00000574.wav,normal,11.44289779663086,8.428934097290039
fan,id_00,00000027.wav,normal,13.052131652832031,14.30147933959961
fan,id_00,00000616.wav,normal,11.26779842376709,17.80638313293457
fan,id_00,00000517.wav,normal,11.726844787597656,18.62841033935547
fan,id_00,00000238.wav,normal,11.588336944580078,7.8322272300720215
fan,id_00,00000223.wav,normal,12.922048568725586,8.130097389221191
fan,id_00,00000095.wav,normal,14.340594291687012,24.856325149536133
fan,id_00,00000030.wav,normal,12.398448944091797,13.239161491394043
fan,id_00,00000032.wav,normal,11.178356170654297,9.042524337768555
fan,id_00,00000432.wav,normal,13.96612548828125,15.454877853393555
fan,id_00,00000604.wav,normal,13.0880126953125,14.22145938873291
fan,id_00,00000089.wav,normal,12.188154220581055,14.550063133239746
fan,id_00,00000558.wav,normal,14.602996826171875,16.962026596069336
fan,id_00,00000913.wav,normal,12.60368824005127,7.469348907470703
fan,id_00,00000758.wav,normal,11.513553619384766,19.158281326293945
fan,id_00,00000692.wav,normal,13.113568305969238,25.108898162841797
fan,id_00,00000104.wav,normal,13.203323364257812,11.342667579650879
fan,id_00,00000754.wav,normal,11.818435668945312,12.831010818481445
fan,id_00,00000142.wav,normal,11.881555557250977,7.809643745422363
fan,id_00,00000228.wav,normal,14.176460266113281,34.07291793823242
fan,id_00,00000250.wav,normal,11.261615753173828,20.356765747070312
fan,id_00,00000281.wav,normal,13.552740097045898,19.460281372070312
fan,id_00,00000759.wav,normal,10.831465721130371,13.669663429260254
fan,id_00,00000025.wav,normal,12.76091194152832,13.362176895141602
fan,id_00,00000114.wav,normal,11.8040189743042,18.913454055786133
fan,id_00,00000654.wav,normal,13.443580627441406,16.517812728881836
