machine_type,machine_id,filename,true_label,ocsvm_score,iforest_score,knn_score
fan,id_00,00000764.wav,normal,0.012116716995617421,0.5,0.3644484803080559
fan,id_00,00000269.wav,normal,0.0030117838009161846,0.5,0.29600121825933456
fan,id_00,00000000.wav,abnormal,0.010644826090191323,0.5,0.3641873896121979
fan,id_00,00000001.wav,abnormal,0.01742536765931843,0.5,0.40252000093460083
fan,id_02,00000417.wav,normal,0.0037463079831888124,0.5,0.15481527894735336
fan,id_02,00000565.wav,normal,-0.00032023618206183935,0.5,0.07218107022345066
fan,id_02,00000000.wav,abnormal,0.030222320297023653,0.5,0.41400769352912903
fan,id_02,00000001.wav,abnormal,0.04450033788362456,0.5,0.5094370543956757
fan,id_04,00000903.wav,normal,0.09076061228261131,0.5,0.9029847979545593
fan,id_04,00000043.wav,normal,-0.006518668071318123,0.5,0.2541152536869049
fan,id_04,00000000.wav,abnormal,0.008256685831272093,0.5,0.3893655836582184
fan,id_04,00000001.wav,abnormal,0.0437319614713533,0.5,0.6187892258167267
fan,id_06,00000792.wav,normal,0.014726344239309713,0.5,0.2924324721097946
fan,id_06,00000969.wav,normal,0.03329768732720906,0.5,0.4374331533908844
fan,id_06,00000000.wav,abnormal,0.11121974958197878,0.5,0.9109190106391907
fan,id_06,00000001.wav,abnormal,0.09540224853320736,0.5,0.814386397600174
pump,id_00,00000764.wav,normal,0.0022049115452649204,0.5,0.4008492976427078
pump,id_00,00000269.wav,normal,-0.0030087745894435136,0.5,0.33312277495861053
pump,id_00,00000000.wav,abnormal,0.00988219860644085,0.5,0.46111901104450226
pump,id_00,00000001.wav,abnormal,0.006728735859652529,0.5,0.42343752086162567
pump,id_02,00000095.wav,normal,0.0065424178022068236,0.5,0.3563635051250458
pump,id_02,00000417.wav,normal,0.032485691322281685,0.5,0.5468775779008865
pump,id_02,00000000.wav,abnormal,0.011112999209267976,0.5,0.3996947258710861
pump,id_02,00000001.wav,abnormal,0.012569636233317943,0.5,0.42422789335250854
pump,id_04,00000081.wav,normal,0.013089564988361557,0.5,0.28424564003944397
pump,id_04,00000105.wav,normal,0.007994400197400109,0.5,0.23176899552345276
pump,id_04,00000000.wav,abnormal,0.06934871188100333,0.5,0.6660804152488708
pump,id_04,00000001.wav,abnormal,0.011817863853945954,0.5,0.27210548520088196
pump,id_06,00000048.wav,normal,0.0078077657802224365,0.5,0.2334728240966797
pump,id_06,00000507.wav,normal,0.004998679440197329,0.5,0.2007177397608757
pump,id_06,00000000.wav,abnormal,0.0798409947997121,0.5,0.7293597459793091
pump,id_06,00000001.wav,abnormal,0.025374558425428934,0.5,0.39005111157894135
slider,id_00,00000698.wav,normal,2.447172772035433e-05,0.5,0.3142538145184517
slider,id_00,00000117.wav,normal,-0.006006222485377799,0.5,0.26097413897514343
slider,id_00,00000000.wav,abnormal,0.10636896505116546,0.5,1.0028147995471954
slider,id_00,00000001.wav,abnormal,0.09433427520977487,0.5,0.9194981455802917
slider,id_02,00000306.wav,normal,0.0015555502044277691,0.5,0.17705261521041393
slider,id_02,00000710.wav,normal,0.004316621187329228,0.5,0.22506133466959
slider,id_02,00000000.wav,abnormal,0.067348237414764,0.5,0.681099146604538
slider,id_02,00000001.wav,abnormal,0.07218418090586118,0.5,0.7097266316413879
slider,id_04,00000497.wav,normal,-0.00034160043998299194,0.5,0.10354175604879856
slider,id_04,00000452.wav,normal,0.06362388040239172,0.5,0.6350958347320557
slider,id_04,00000000.wav,abnormal,0.004835095489412189,0.5,0.19628975540399551
slider,id_04,00000001.wav,abnormal,0.011067657256735947,0.5,0.2674473226070404
slider,id_06,00000215.wav,normal,0.011426030107420382,0.5,0.3414441794157028
slider,id_06,00000330.wav,normal,0.002039438101955615,0.5,0.2351844422519207
slider,id_06,00000000.wav,abnormal,0.021545673233152512,0.5,0.4242550730705261
slider,id_06,00000001.wav,abnormal,0.001471506813307072,0.5,0.23560338839888573
valve,id_00,00000551.wav,normal,0.02639736588478156,0.5,0.5407388508319855
valve,id_00,00000965.wav,normal,0.009686122849491913,0.5,0.4291791617870331
valve,id_00,00000000.wav,abnormal,0.030945907277553697,0.5,0.5598687380552292
valve,id_00,00000001.wav,abnormal,0.052247510669035185,0.5,0.7029384672641754
valve,id_02,00000294.wav,normal,0.038663624491049875,0.5,0.8691615462303162
valve,id_02,00000134.wav,normal,0.0017779987409620723,0.5,0.6321917325258255
valve,id_02,00000000.wav,abnormal,0.04517025739931249,0.5,0.9675181806087494
valve,id_02,00000001.wav,abnormal,0.004294860536721706,0.5,0.6632135510444641
valve,id_04,00000859.wav,normal,0.03378366324323395,0.5,0.5172044932842255
valve,id_04,00000904.wav,normal,0.08545304212823149,0.5,0.8275505602359772
valve,id_04,00000000.wav,abnormal,0.042619175603691495,0.5,0.5704311579465866
valve,id_04,00000001.wav,abnormal,0.11865553659521072,0.5,1.0421259999275208
valve,id_06,00000423.wav,normal,0.01404205971813341,0.5,0.3485760912299156
valve,id_06,00000226.wav,normal,0.004547203564485541,0.5,0.2743651196360588
valve,id_06,00000000.wav,abnormal,0.0053560590396294905,0.5,0.2913583815097809
valve,id_06,00000001.wav,abnormal,0.057703663890587176,0.5,0.6478978395462036
