machine_type,machine_id,filename,true_label,health_score,health_percentage,health_state,normalized_euclidean,normalized_manhattan,normalized_cosine
valve,id_00,00000671.wav,normal,98.69687247606353,98.7%,EXCELLENT,9.856142044067383,129.66943359375,-0.12342129647731781
valve,id_00,00000153.wav,normal,99.73260978963845,99.7%,EXCELLENT,5.694403171539307,76.41154479980469,-0.14995920658111572
valve,id_00,00000033.wav,normal,95.01473227599901,95.0%,EXCELLENT,14.158869743347168,195.1881103515625,-0.024220101535320282
valve,id_00,00000009.wav,normal,97.7419945879406,97.7%,EXCELLENT,11.506787300109863,156.73434448242188,0.027615470811724663
valve,id_00,00000275.wav,normal,97.6920934324746,97.7%,EXCELLENT,11.575272560119629,156.44544982910156,-0.0704275369644165
valve,id_00,00000301.wav,normal,98.99179333961663,99.0%,EXCELLENT,9.12785816192627,126.026611328125,-0.02640683948993683
valve,id_00,00000207.wav,normal,79.40221387625097,79.4%,GOOD,20.295900344848633,273.3117370605469,0.06448554247617722
valve,id_00,00000443.wav,normal,12.991271586202707,13.0%,CRITICAL,34.766727447509766,467.99456787109375,0.08992809057235718
valve,id_00,00000859.wav,normal,94.09499762995037,94.1%,EXCELLENT,14.779281616210938,195.99227905273438,-0.08033222705125809
valve,id_00,00000889.wav,normal,82.6212255700627,82.6%,GOOD,19.4127140045166,255.3994903564453,0.038790080696344376
valve,id_00,00000892.wav,normal,0.04124072196654844,0.0%,CRITICAL,51.246002197265625,656.9188232421875,0.056250251829624176
valve,id_00,00000715.wav,normal,96.78585832746094,96.8%,EXCELLENT,12.643393516540527,172.29934692382812,0.05800303816795349
valve,id_00,00000513.wav,normal,95.06070748715383,95.1%,EXCELLENT,14.125541687011719,191.60247802734375,-0.09396456182003021
valve,id_00,00000985.wav,normal,96.06657011865283,96.1%,EXCELLENT,13.325216293334961,185.04232788085938,0.09057174623012543
valve,id_00,00000818.wav,normal,98.86319187090497,98.9%,EXCELLENT,9.465543746948242,131.7481231689453,-0.09203694015741348
valve,id_00,00000561.wav,normal,97.11205144500643,97.1%,EXCELLENT,12.291817665100098,160.90806579589844,-0.02463149093091488
valve,id_00,00000315.wav,normal,98.54924737907862,98.5%,EXCELLENT,10.168233871459961,136.65145874023438,0.0137145621702075
valve,id_00,00000685.wav,normal,99.31101053326444,99.3%,EXCELLENT,8.08989143371582,106.13935852050781,-0.07312469929456711
valve,id_00,00000411.wav,normal,97.63400327407442,97.6%,EXCELLENT,11.653443336486816,157.39263916015625,-0.0683082565665245
valve,id_00,00000573.wav,normal,92.67972939939187,92.7%,EXCELLENT,15.600093841552734,205.10276794433594,0.01770036481320858
valve,id_00,00000944.wav,normal,12.86750108058565,12.9%,CRITICAL,34.81037139892578,449.1981201171875,0.0639529749751091
valve,id_00,00000558.wav,normal,97.11843051503384,97.1%,EXCELLENT,12.28462028503418,166.099365234375,-0.0019088243134319782
valve,id_00,00000731.wav,normal,96.10602251816202,96.1%,EXCELLENT,13.290584564208984,170.05340576171875,0.036314282566308975
valve,id_00,00000480.wav,normal,98.96055463807151,99.0%,EXCELLENT,9.213194847106934,122.5084457397461,-0.1170351430773735
valve,id_00,00000690.wav,normal,99.45659596287727,99.5%,EXCELLENT,7.465961456298828,102.88827514648438,-0.1454629898071289
valve,id_00,00000467.wav,normal,90.75222469638724,90.8%,EXCELLENT,16.541616439819336,226.23703002929688,0.07048510015010834
valve,id_00,00000717.wav,normal,98.924477914226,98.9%,EXCELLENT,9.309009552001953,121.47937774658203,0.014149237424135208
valve,id_00,00000641.wav,normal,95.45910919298666,95.5%,EXCELLENT,13.825827598571777,184.8822021484375,-0.12788160145282745
