machine_type,machine_id,filename,true_label,normalized_euclidean,normalized_manhattan,normalized_cosine,health_score
fan,id_00,00000764.wav,normal,15.141461372375488,201.05789184570312,-0.013697673566639423,92.24802079064018
fan,id_00,00000269.wav,normal,11.107386589050293,141.4561767578125,-0.02782919444143772,96.85906966633439
fan,id_00,00000551.wav,normal,7.124731063842773,96.99647521972656,0.008289524354040623,98.90875889553334
fan,id_00,00000985.wav,normal,20.43438720703125,272.60638427734375,-0.013859068974852562,80.13890174148816
fan,id_00,00000762.wav,normal,28.564199447631836,395.5673522949219,0.12765192985534668,48.51834492189505
fan,id_00,00000252.wav,normal,7.165579795837402,96.76287841796875,-0.01561880111694336,98.89592328836048
fan,id_00,00001003.wav,normal,11.225168228149414,152.2506103515625,-0.030805757269263268,96.76749439961763
fan,id_00,00000271.wav,normal,11.487959861755371,147.7742919921875,-0.040918320417404175,96.55521757129245
fan,id_00,00000146.wav,normal,13.363525390625,171.2057342529297,-0.021509869024157524,94.68687306582785
fan,id_00,00000469.wav,normal,10.616222381591797,139.1732940673828,0.04837721958756447,97.21812706857136
fan,id_00,00000658.wav,normal,9.894366264343262,131.8154754638672,0.08570410311222076,97.68327377537823
fan,id_00,00000405.wav,normal,10.270992279052734,135.55503845214844,0.051378924399614334,97.44948083383738
fan,id_00,00000511.wav,normal,5.204862117767334,68.83729553222656,-0.10286237299442291,99.38270449805634
fan,id_00,00000671.wav,normal,5.958897113800049,78.32345581054688,-0.03208440542221069,99.2242592916738
fan,id_00,00000217.wav,normal,8.337625503540039,110.22859191894531,0.0362766794860363,98.46738176357643
fan,id_00,00000322.wav,normal,5.491804599761963,73.79928588867188,-0.09103373438119888,99.32614779890801
fan,id_00,00000735.wav,normal,5.3715009689331055,72.36770629882812,-0.1104235127568245,99.3503946509901
fan,id_00,00000580.wav,normal,6.945392608642578,89.05318450927734,0.07155144959688187,98.96358658218836
fan,id_00,00000216.wav,normal,8.819735527038574,118.4654541015625,-0.10905610024929047,98.25341598929424
fan,id_00,00000067.wav,normal,12.58448600769043,157.56658935546875,-0.02068774215877056,95.54257832477855
fan,id_00,00000274.wav,normal,14.008148193359375,188.57269287109375,0.12309884279966354,93.88449451237885
fan,id_00,00000410.wav,normal,7.516554832458496,99.33688354492188,-0.0908634215593338,98.78012175116753
fan,id_00,00000323.wav,normal,28.303600311279297,379.09722900390625,-0.024450745433568954,49.64813669800757
fan,id_00,00000824.wav,normal,6.391904830932617,84.81098937988281,-0.09726579487323761,99.11793925840624
fan,id_00,00000993.wav,normal,15.071419715881348,201.17446899414062,0.11308205127716064,92.35794579011237
fan,id_00,00000841.wav,normal,7.888261795043945,106.01914978027344,-0.005637760274112225,98.64614384900622
