machine_type,machine_id,filename,true_label,health_score,normalized_euclidean,normalized_manhattan,normalized_cosine,euclidean_health_score,manhattan_health_score,cosine_health_score
pump,id_00,n_0.wav,normal,90.0,14.554425309821816,125.86374133985797,-0.141805295212761,44.77192340966256,63.42126290820087,100.0
pump,id_00,n_1.wav,normal,90.0,5.247914532927936,218.2559406640463,0.0325511154555443,80.08631604516185,36.570082954102745,78.34831088649509
pump,id_00,n_2.wav,normal,90.0,14.0995366365077,204.01441536727967,-0.0412750017069154,46.498039415968584,40.70897954235843,100.0
pump,id_00,n_3.wav,normal,90.0,19.026086356816524,218.69510420066047,-0.1494522999659703,27.803803162221776,36.4424524913888,100.0
pump,id_00,n_4.wav,normal,90.0,17.86106414881354,85.70954780192893,-0.0040689107140111,32.22458477079636,75.09094373066341,100.0
pump,id_00,n_5.wav,normal,90.0,7.634834309038386,226.74041679948076,-0.0417077559501816,71.02893415588456,34.104309899719375,100.0
pump,id_00,n_6.wav,normal,90.0,9.495678358060772,151.85682760360194,-0.1443360657709074,63.96779395457901,55.867107449889765,100.0
pump,id_00,n_7.wav,normal,90.0,6.864249147493459,194.0061504979172,-0.0205620976851499,73.95298889629821,43.61759870069872,100.0
pump,id_00,n_8.wav,normal,90.0,14.230776672218807,145.22518422452018,0.0494419871578422,46.00003729017662,57.79440706030729,67.1131842914106
pump,id_00,n_9.wav,normal,90.0,19.71253008164345,196.5421373617181,-0.0199081447464367,25.1990306753195,42.88058583446946,100.0
pump,id_00,n_10.wav,normal,90.0,15.326700958564102,146.11664207644765,-0.1229806989955177,41.841453963451656,57.53533004537871,100.0
pump,id_00,n_11.wav,normal,90.0,15.822325102911226,169.3102348208734,-0.0879516248882088,39.96076354652729,50.79476821095989,100.0
pump,id_00,n_12.wav,normal,90.0,12.287530382476836,231.21293183933005,0.0368087031912499,53.37386020926738,32.80449988263102,75.5163352464324
pump,id_00,n_13.wav,normal,90.0,10.366927950636054,177.16007122405938,-0.0856261217848115,60.6617589718321,48.51343524763691,100.0
pump,id_00,n_14.wav,normal,90.0,13.914500452995451,137.44490833621265,-0.0716761998943677,47.20017586570542,60.055524227098054,100.0
pump,id_00,n_15.wav,normal,90.0,18.354115280071884,118.61679090067454,-0.0253625710627915,30.35365788358273,65.52738411523227,100.0
pump,id_00,n_16.wav,normal,90.0,6.2602301537357725,221.5495051010776,0.0074196614977366,76.24499332375963,35.61290158991811,95.06474042968402
pump,id_00,n_17.wav,normal,90.0,8.590541644894282,229.00231923781965,-0.1382863930389611,67.40241666591004,33.44695192085643,100.0
pump,id_00,n_18.wav,normal,90.0,10.041755908184903,105.54750937212263,-0.0599321266701425,61.89565354913358,69.3256012023976,100.0
pump,id_00,n_19.wav,normal,90.0,16.944864054309413,119.20917552893708,-0.139595739787118,35.70118847820636,65.35522427520392,100.0
